C:\Projects\Hearts-of-Iron-IV_RoadTo56\2421485863\localisation\english mit C:\Projects\Hearts-of-Iron-IV_RoadTo56\2421485863\localisation\english_2024-09 vergleichen
09.09.2024 08:13:49
Dateiname,Ordner,Vergleichsergebnis,Linkes Datum,Rechtes Datum,Erweiterung

replace,,,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,
aat_focus_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
ABK_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:47,* 09.09.2024 08:03:29,yml
ABT_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:47,* 09.09.2024 08:03:29,yml
aces_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
achievements_l_english.yml,,Textdateien sind unterschiedlich,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
ADR_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
ADU_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
AFA_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
AFG_l_english.yml,,Textdateien sind unterschiedlich,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
ALB_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
ALG_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
AOI_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
ARAB_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
ARG_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
ARM_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
AST_l_english.yml,,Textdateien sind unterschiedlich,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
AUS_l_english.yml,,Textdateien sind unterschiedlich,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
AXM_l_english.yml,,Textdateien sind unterschiedlich,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
AZR_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
BAD_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
BAN_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
BAY_l_english.yml,,Textdateien sind identisch,  09.09.2024 08:01:48,* 09.09.2024 08:03:29,yml
